brewery_name,review_time,review_overall,review_aroma,review_profilename,beer_style,review_taste,beer_name,beer_beerid
Caldera Brewing Company,1.19004349E9,4.5,4.0,Vancer,American Pale Ale (APA),4.0,Caldera Pale Ale,25414.0
Caldera Brewing Company,1.188970905E9,4.5,3.5,ghostwalker,American Pale Ale (APA),4.0,Caldera Pale Ale,25414.0
Caldera Brewing Company,1.190326149E9,4.0,4.0,mcallister,American Amber / Red Ale,4.0,Dry Hop Red,10786.0
Caldera Brewing Company,1.191180572E9,4.5,4.5,blakesell,American IPA,3.5,Caldera IPA,10784.0
Caldera Brewing Company,1.190238782E9,4.0,4.0,mcallister,American IPA,3.5,Caldera IPA,10784.0
Caldera Brewing Company,1.189824893E9,4.0,4.0,cswhitehorse,American IPA,4.0,Caldera IPA,10784.0
Caldera Brewing Company,1.189784159E9,4.0,4.0,weeare138,American IPA,3.5,Caldera IPA,10784.0
Caldera Brewing Company,1.188972053E9,4.0,4.5,msubulldog25,American IPA,4.0,Caldera IPA,10784.0
Caldera Brewing Company,1.188694023E9,4.5,4.5,kevinmkirk,American IPA,4.5,Caldera IPA,10784.0
Amstel Brouwerij B. V.,1.190875643E9,2.0,2.0,Overlord,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.189958332E9,3.0,2.0,genog,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.1894694E9,2.0,2.0,Brad007,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.189389953E9,5.0,3.0,botham,Light Lager,2.0,Amstel Light,436.0
Amstel Brouwerij B. V.,1.189222449E9,3.0,2.5,argock,Light Lager,2.5,Amstel Light,436.0
Harboes Bryggeri A/S,1.189195817E9,2.0,3.5,bark,Euro Pale Lager,1.5,Harboe Kräftöl,38540.0
Broad Ripple Brew Pub,1.18996912E9,4.5,3.5,danielocean03,Märzen / Oktoberfest,3.5,Oktoberfest,13289.0
Moon River Brewing Company,1.190690445E9,3.5,3.0,ChainGangGuy,American Porter,3.0,The Captain's Porter,2780.0
Isle Of Skye Brewery,1.190693967E9,4.5,4.0,July2Nov,Scotch Ale / Wee Heavy,4.5,Wee Beast (Cuillin Beast),17010.0
Hoppin' Frog Brewery,1.190158924E9,4.0,3.5,Wasatch,Belgian Strong Pale Ale,4.0,Gulden Fraug Belgian Style Ale,33927.0
Hoppin' Frog Brewery,1.189922099E9,4.0,3.5,northyorksammy,Belgian Strong Pale Ale,3.5,Gulden Fraug Belgian Style Ale,33927.0
Hoppin' Frog Brewery,1.188699714E9,4.0,3.5,northyorksammy,Hefeweizen,3.5,Wild Frog Wheat Ale,36862.0
Hoppin' Frog Brewery,1.188699373E9,4.0,4.0,jfitzy78,Hefeweizen,4.0,Wild Frog Wheat Ale,36862.0
Hoppin' Frog Brewery,1.190212412E9,4.0,4.0,TheBierBand,American Double / Imperial IPA,4.0,Mean Manalishi Double I.P.A.,37518.0
Hoppin' Frog Brewery,1.189988484E9,4.5,4.0,brentk56,American Double / Imperial IPA,4.5,Mean Manalishi Double I.P.A.,37518.0
Hoppin' Frog Brewery,1.189532583E9,4.0,4.5,weeare138,American Double / Imperial IPA,4.0,Mean Manalishi Double I.P.A.,37518.0
Hoppin' Frog Brewery,1.189466674E9,4.0,5.0,wagenvolks,American Double / Imperial IPA,4.0,Mean Manalishi Double I.P.A.,37518.0
Hoppin' Frog Brewery,1.189262045E9,4.0,4.0,merlin48,American Double / Imperial IPA,4.0,Mean Manalishi Double I.P.A.,37518.0
Hoppin' Frog Brewery,1.18921771E9,4.5,4.5,franksnbeans,American Double / Imperial IPA,4.5,Mean Manalishi Double I.P.A.,37518.0
Hoppin' Frog Brewery,1.188699093E9,4.0,4.0,jfitzy78,American Double / Imperial IPA,5.0,Mean Manalishi Double I.P.A.,37518.0
Hoppin' Frog Brewery,1.190329944E9,3.5,3.0,jdoncbus,American IPA,3.0,Hoppin' To Heaven IPA,33624.0
Hoppin' Frog Brewery,1.18981127E9,4.0,4.0,Wasatch,American IPA,4.0,Hoppin' To Heaven IPA,33624.0
Hoppin' Frog Brewery,1.190493923E9,4.0,4.5,grub,Russian Imperial Stout,4.5,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,33644.0
Hoppin' Frog Brewery,1.190260082E9,4.5,4.5,drseamus,Russian Imperial Stout,4.5,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,33644.0
Hoppin' Frog Brewery,1.189988909E9,4.5,4.5,bigdeuce,Russian Imperial Stout,5.0,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,33644.0
Hoppin' Frog Brewery,1.189601132E9,5.0,5.0,MrBen,Russian Imperial Stout,5.0,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,33644.0
Hoppin' Frog Brewery,1.189223018E9,4.0,4.5,franksnbeans,Russian Imperial Stout,4.5,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,33644.0
Hoppin' Frog Brewery,1.188762249E9,4.5,4.5,Phatz,Russian Imperial Stout,5.0,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,33644.0
Hoppin' Frog Brewery,1.18870049E9,5.0,4.5,northyorksammy,Russian Imperial Stout,4.0,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,33644.0
Hoppin' Frog Brewery,1.189306605E9,4.0,4.0,northyorksammy,Black & Tan,4.0,Bodacious Black & Tan,33662.0
Hoppin' Frog Brewery,1.190394596E9,4.0,4.0,TheBierBand,Black & Tan,4.0,Bodacious Black & Tan,33662.0
Hoppin' Frog Brewery,1.188696504E9,4.0,3.5,DarkerTheBetter,Black & Tan,3.5,Bodacious Black & Tan,33662.0
No-Li Brewhouse,1.189357593E9,2.0,3.0,loren01,American IPA,1.5,IPA,13112.0
No-Li Brewhouse,1.18919057E9,4.0,4.5,RedDiamond,American IPA,4.0,IPA,13112.0
No-Li Brewhouse,1.189189826E9,4.0,3.5,RedDiamond,Cream Ale,4.0,Créme Ale,38537.0
No-Li Brewhouse,1.189277197E9,4.0,4.5,RedDiamond,Fruit / Vegetable Beer,3.5,Blueberry Ale,26646.0
No-Li Brewhouse,1.189189325E9,4.0,3.5,RedDiamond,English Bitter,4.0,Crystal Bitter Ale,7360.0
No-Li Brewhouse,1.1892781E9,3.0,5.0,RedDiamond,American Stout,3.5,Stellar Stout,23649.0
No-Li Brewhouse,1.189194048E9,4.5,4.0,RedDiamond,American Pale Wheat Ale,4.0,Summer Wheat Ale,31453.0
No-Li Brewhouse,1.189445743E9,3.0,3.5,RedDiamond,American Amber / Red Ale,3.0,Amber Ale,12421.0
No-Li Brewhouse,1.189445551E9,3.0,3.0,RedDiamond,Märzen / Oktoberfest,3.0,Copper Fest,38601.0
No-Li Brewhouse,1.189190225E9,3.5,3.0,RedDiamond,American Pale Ale (APA),3.5,Pale Ale,13009.0
No-Li Brewhouse,1.189280351E9,3.0,3.5,RedDiamond,Munich Dunkel Lager,3.0,Chocolate Dunkel,17162.0
Catawba Valley Brewing Company,1.190670369E9,4.0,3.5,ChainGangGuy,Pumpkin Ale,3.5,King Don's Original Pumpkin Ale,13282.0
Catawba Valley Brewing Company,1.190441934E9,4.0,4.0,ncvbc,Pumpkin Ale,4.0,King Don's Original Pumpkin Ale,13282.0
Catawba Valley Brewing Company,1.189647606E9,5.0,4.5,wcudwight,American Black Ale,4.5,Blackwater Uber Pale Ale,37952.0
Catawba Valley Brewing Company,1.189532597E9,4.0,4.0,BEERchitect,American Black Ale,4.0,Blackwater Uber Pale Ale,37952.0
Catawba Valley Brewing Company,1.189519434E9,3.5,3.5,BEERchitect,Cream Ale,3.5,Farmer Ted's Cream Ale,25101.0
Catawba Valley Brewing Company,1.190666052E9,4.0,3.5,ChainGangGuy,English Brown Ale,3.5,Brown Bear Ale,14413.0
Brasserie La Binchoise (Malterie des Remparts),1.189044085E9,4.0,4.5,jwc215,Belgian Strong Pale Ale,5.0,La Binchoise Spéciale Noël (Reserve Special - USA),8422.0
Brasserie La Binchoise (Malterie des Remparts),1.188852662E9,5.0,5.0,Maracuja,Belgian Strong Pale Ale,5.0,La Binchoise Spéciale Noël (Reserve Special - USA),8422.0
Trafalgar Ales & Meads,1.189466629E9,1.0,2.5,CanuckRover,Bock,1.0,Trafalgar Maple Bock,36380.0
Trafalgar Ales & Meads,1.191101622E9,3.0,3.5,Viggo,English Porter,3.5,Trafalgar Peppermint Porter,38865.0
Trafalgar Ales & Meads,1.191024404E9,3.0,3.0,drinkininthewood,Irish Red Ale,3.5,Elora Irish Ale,27597.0
Trafalgar Ales & Meads,1.190935013E9,3.5,3.0,demcorhip,American Amber / Red Ale,3.5,Portside Amber,25049.0
Trafalgar Ales & Meads,1.191125314E9,4.0,3.5,northyorksammy,Smoked Beer,3.0,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.191027359E9,3.5,2.5,grub,Smoked Beer,3.5,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.190775302E9,1.5,1.5,ThatWineGuy,Smoked Beer,2.0,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.190772115E9,3.0,2.5,biegaman,Smoked Beer,2.5,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.190397755E9,3.0,3.5,crwills,Smoked Beer,3.0,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.190339208E9,3.0,4.0,MississaugaMatt,Smoked Beer,3.0,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.189729262E9,3.5,4.0,Derek,Smoked Beer,4.0,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.189462884E9,3.0,4.0,pootz,Smoked Beer,3.5,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.189221936E9,3.5,3.5,CAMRAhardliner,Smoked Beer,4.0,Trafalgar Smoked Oatmeal Stout,38552.0
Trafalgar Ales & Meads,1.191101989E9,3.5,3.5,Viggo,American Strong Ale,3.5,Trafalgar Black Bullet,38866.0
Bluegrass Brewing Co. - East St. Matthew's,1.188869723E9,4.5,4.5,mobyfann,American Pale Ale (APA),4.0,American Pale Ale,1122.0
Bluegrass Brewing Co. - East St. Matthew's,1.188807635E9,3.5,4.0,drewbage,American Barleywine,4.0,Bearded Pat's Barleywine,3003.0
Bluegrass Brewing Co. - East St. Matthew's,1.191163349E9,3.0,3.5,CharlieMopps,American Double / Imperial Stout,3.0,Jefferson's Reserve Bourbon Barrel Stout,29687.0
Bluegrass Brewing Co. - East St. Matthew's,1.189645603E9,3.0,3.5,homebrewhawk,American Double / Imperial Stout,4.0,Jefferson's Reserve Bourbon Barrel Stout,29687.0
Bluegrass Brewing Co. - East St. Matthew's,1.189393418E9,4.5,3.5,hchinaski,American Double / Imperial Stout,4.5,Jefferson's Reserve Bourbon Barrel Stout,29687.0
Bluegrass Brewing Co. - East St. Matthew's,1.190078964E9,3.5,3.5,IPAcraig,English Porter,3.0,Dark Star Porter,1123.0
Bluegrass Brewing Co. - East St. Matthew's,1.190513266E9,4.0,4.0,auxiliary,English Brown Ale,4.5,Nut Brown Ale,7324.0
Bluegrass Brewing Co. - East St. Matthew's,1.189481641E9,4.0,3.5,HumuloneRed,English Brown Ale,3.0,Nut Brown Ale,7324.0
Bluegrass Brewing Co. - East St. Matthew's,1.189046302E9,4.0,4.5,mobyfann,English Brown Ale,4.0,Nut Brown Ale,7324.0
Bluegrass Brewing Co. - East St. Matthew's,1.1890332E9,3.5,3.5,jdg204,English Brown Ale,3.5,Nut Brown Ale,7324.0
Bluegrass Brewing Co. - East St. Matthew's,1.188866283E9,3.5,3.0,mobyfann,Altbier,4.0,Altbier,1121.0
Bluegrass Brewing Co. - East St. Matthew's,1.189384013E9,4.0,3.5,rhoadsrage,American IPA,4.0,Professor Gesser's Mind Numbing Ale,1589.0
Bluegrass Brewing Co. - East St. Matthew's,1.188768652E9,4.5,4.5,blakesell,American IPA,4.5,Professor Gesser's Mind Numbing Ale,1589.0
Bluegrass Brewing Co. - East St. Matthew's,1.189563913E9,3.5,3.5,Dansting,American Double / Imperial IPA,3.5,Homewrecker,20417.0
Pike Pub & Brewery,1.189826133E9,4.5,4.0,franksnbeans,American Stout,4.5,Pike Street XXXXX Stout,966.0
Pike Pub & Brewery,1.1897926E9,3.5,3.5,ChainGangGuy,American Stout,3.5,Pike Street XXXXX Stout,966.0
Pike Pub & Brewery,1.188775529E9,3.0,4.0,beals,American Stout,4.0,Pike Street XXXXX Stout,966.0
Pike Pub & Brewery,1.190989303E9,4.0,4.5,joedon,American Barleywine,5.0,Pike Old Bawdy Barley Wine,963.0
Pike Pub & Brewery,1.190404678E9,5.0,4.5,GClarkage,American Barleywine,5.0,Pike Old Bawdy Barley Wine,963.0
Pike Pub & Brewery,1.188774792E9,4.5,2.5,beals,American Pale Ale (APA),4.5,Pike Pale Ale,959.0
Pike Pub & Brewery,1.189995144E9,3.5,3.0,HardTarget,Scotch Ale / Wee Heavy,3.5,Pike Kilt Lifter Scotch Style Ale,962.0
Pike Pub & Brewery,1.18877532E9,3.0,3.5,beals,Scotch Ale / Wee Heavy,4.0,Pike Kilt Lifter Scotch Style Ale,962.0
Pike Pub & Brewery,1.188775696E9,5.0,4.0,beals,American Strong Ale,5.0,Pike Tandem Double Ale,33227.0
Pike Pub & Brewery,1.18877462E9,4.0,2.5,beals,American Pale Ale (APA),4.0,Naughty Nellie's Ale,961.0
Pike Pub & Brewery,1.188775939E9,3.5,4.0,beals,Tripel,3.0,Monk's Uncle Tripel,34590.0
Pike Pub & Brewery,1.188871095E9,4.0,4.0,cswhitehorse,American IPA,4.5,Pike India Pale Ale,960.0
Pike Pub & Brewery,1.18877498E9,4.0,3.0,beals,American IPA,4.0,Pike India Pale Ale,960.0
Yazoo Brewing Company,1.188955202E9,4.0,3.0,Vancer,Hefeweizen,3.5,Hefeweizen,20575.0
"Pivovar Nymburk, spol. s r.o.",1.190497098E9,3.0,3.5,MYJELLOMISFIT,Czech Pilsener,3.0,Gold Bohemia Beer,22993.0
Inlet Brewing Co.,1.188708249E9,4.5,3.5,bluegrassbrew,American Amber / Red Ale,4.0,Monk In The Trunk,38468.0
Cooperstown Brewing Company,1.191175556E9,4.0,4.0,funkengruven,American Pale Ale (APA),4.0,Old Slugger,1598.0
Cooperstown Brewing Company,1.190112204E9,4.0,5.0,BeerLover48Fan,American Pale Ale (APA),4.0,Old Slugger,1598.0
Cooperstown Brewing Company,1.190259976E9,4.0,3.5,ThatWineGuy,English Stout,4.0,Strike Out Stout,178.0
Cooperstown Brewing Company,1.190255576E9,4.0,3.5,biegaman,English Stout,3.5,Strike Out Stout,178.0
Cooperstown Brewing Company,1.190681608E9,2.5,3.0,kmpitz2,English India Pale Ale (IPA),2.5,Back Yard India Pale Ale,1599.0
Cooperstown Brewing Company,1.190112495E9,4.0,3.5,BeerLover48Fan,English India Pale Ale (IPA),4.0,Back Yard India Pale Ale,1599.0
Cooperstown Brewing Company,1.189049818E9,3.5,3.5,guinness33,English India Pale Ale (IPA),3.5,Back Yard India Pale Ale,1599.0
