brewery_name,review_time,review_overall,review_aroma,review_profilename,beer_style,review_taste,beer_name,beer_beerid
Cambridge Brewing Company,9.69580801E8,4.5,4.0,BeerAdvocate,Kölsch,4.5,Regatta Golden,512.0
Cambridge Brewing Company,9.69580801E8,4.0,4.0,BeerAdvocate,American Amber / Red Ale,4.5,Cambridge Amber,514.0
Cambridge Brewing Company,9.69580801E8,4.5,4.0,BeerAdvocate,American Porter,4.5,Charles River Porter,515.0
Cambridge Brewing Company,9.67852801E8,4.0,4.0,BeerAdvocate,Dunkelweizen,4.0,Dunkles Weizen,503.0
Cambridge Brewing Company,9.55497601E8,4.0,3.5,Todd,Extra Special / Strong Bitter (ESB),4.0,Will's Extra Bitter,562.0
Cambridge Brewing Company,9.72000001E8,4.5,4.0,Todd,Oatmeal Stout,4.5,Blackout Oatmeal Stout,638.0
Cambridge Brewing Company,9.55497601E8,4.0,4.0,Todd,American Stout,4.0,BMF Stout,563.0
Cambridge Brewing Company,9.69580801E8,4.0,4.0,BeerAdvocate,American Pale Ale (APA),4.5,Tall Tale Pale Ale,513.0
Cambridge Brewing Company,9.69580801E8,5.0,4.0,BeerAdvocate,American IPA,4.5,Big Man Ale,505.0
"Plzensky Prazdroj, a. s.",9.73014566E8,5.0,5.0,BarnacleBill,Czech Pilsener,5.0,Pilsner Urquell,429.0
"Plzensky Prazdroj, a. s.",9.68544001E8,4.0,3.0,Todd,Czech Pilsener,3.0,Pilsner Urquell,429.0
Sierra Nevada Brewing Co.,9.71481601E8,4.5,4.5,BeerAdvocate,American Stout,4.5,Sierra Nevada Stout,283.0
Brouwerij Sterkens N.V.,9.69753601E8,4.5,4.0,BeerAdvocate,Baltic Porter,4.0,Hoogstraten Poorter,591.0
Brouwerij Sterkens N.V.,9.69667201E8,4.0,4.0,BeerAdvocate,Belgian Strong Pale Ale,4.0,Bokrijks Kruikenbier,589.0
Brouwerij Sterkens N.V.,9.78188346E8,4.5,4.0,Jason,Dubbel,4.5,St. Sebastiaan Dark,713.0
Celis Brewery Inc.,9.54892801E8,3.0,3.5,Jason,American Pale Ale (APA),3.0,Pale Rider Ale,165.0
McAuslan Brewing,9.72518401E8,4.5,4.5,Jason,American Pale Ale (APA),4.5,St-Ambroise Pale Ale,2703.0
Desnoes & Geddes Limited,9.75625363E8,4.0,3.0,Todd,American Adjunct Lager,3.5,Red Stripe Jamaican Lager,689.0
Long Trail Brewing Co.,9.63014401E8,3.5,4.0,Todd,English India Pale Ale (IPA),3.5,IPA,270.0
Casco Bay Brewing Co.,9.78220801E8,4.0,4.0,Todd,American Pale Ale (APA),4.0,Portland Pirates Salty Pete's Peg Leg Ale,2414.0
Casco Bay Brewing Co.,9.78220801E8,4.0,4.0,Todd,Irish Red Ale,5.0,Casco Bay RipTide Red Ale,714.0
New Belgium Brewing,9.70876801E8,4.0,4.0,BeerAdvocate,American Amber / Red Ale,4.0,Fat Tire Amber Ale,607.0
Carlsberg-Tetley Brewing Ltd,9.77342962E8,4.0,4.0,Todd,English Pale Ale,4.0,Tetley's English Ale,706.0
Bières de Chimay S.A.,9.74678401E8,4.5,4.5,BeerAdvocate,Dubbel,5.0,Chimay Première (Red),672.0
Brasserie de Rochefort,9.73468801E8,4.0,4.5,BeerAdvocate,Quadrupel (Quad),4.5,Trappistes Rochefort 10,645.0
"Old Nutfield Brewing Company, Ltd.",9.71740801E8,4.0,4.5,Jason,American Amber / Red Ale,4.5,Nutfield Harvest Ale,437.0
Unibroue,9.76128004E8,5.0,4.5,beerboy21,Belgian Strong Pale Ale,5.0,Don de Dieu,694.0
Bierbrouwerij De Koningshoeven B.V.,9.69753601E8,3.0,2.5,BeerAdvocate,Belgian Pale Ale,3.0,La Trappe Blond (Koningshoeven / Dominus),590.0
Brouwerij De Gouden Boom,9.75247833E8,4.0,4.0,Todd,Witbier,4.0,Blanche de Bruges,678.0
Brouwerij De Gouden Boom,9.7818844E8,4.5,4.5,Jason,Tripel,4.5,Steenbrugge Abbey Tripel,711.0
Private Stock Brewing Co.,9.74677547E8,4.0,3.0,Todd,American Malt Liquor,4.0,Haffenreffer Private Stock,669.0
Brauerei C. & A. Veltins GmbH & Co.,9.69062401E8,4.0,3.0,Todd,German Pilsener,3.5,Veltins Pilsner,458.0
Samuel Smith Old Brewery (Tadcaster),9.76047379E8,5.0,4.0,BarnacleBill,Oatmeal Stout,5.0,Samuel Smith's Oatmeal Stout,571.0
Palm Springs Brewery Inc.,9.55411201E8,4.0,3.5,Jason,American Amber / Red Ale,4.0,Red Feather Premium Ale,441.0
Pete's Brewing Company,9.69148801E8,4.0,4.0,Todd,Märzen / Oktoberfest,4.0,Pete's Wicked Oktoberfest,378.0
Willimantic Brewing Co.,9.71551056E8,4.0,3.5,Jason,American Amber / Red Ale,4.0,Willimantic Autumn Ale,7075.0
Willimantic Brewing Co.,9.7155149E8,4.0,4.0,Jason,American IPA,4.5,Willimantic Most Wanted IPA,1756.0
JOS. Schlitz Brewing Co. (Pabst),9.73601563E8,4.0,3.0,Todd,American Adjunct Lager,3.5,Schlitz,263.0
JOS. Schlitz Brewing Co. (Pabst),9.59558401E8,4.0,3.0,Todd,American Adjunct Lager,3.5,Schlitz,263.0
Ballast Point Brewing Company,9.77443473E8,4.5,4.0,Jason,American IPA,4.5,Big Eye IPA,709.0
