brewery_name,review_time,review_overall,review_aroma,review_profilename,beer_style,review_taste,beer_name,beer_beerid
"Underground, The",8.89920001E8,3.5,3.5,BeerAdvocate,American Blonde Ale,3.5,Dirty Blonde Premium Ale,2383.0
"Underground, The",8.89056001E8,3.0,3.5,BeerAdvocate,English Brown Ale,3.0,Premium Ale,2385.0
"Underground, The",8.89056001E8,4.0,3.0,BeerAdvocate,American Pale Ale (APA),4.5,Olde Sudbury Premium Ale,2384.0
Sierra Nevada Brewing Co.,8.86723201E8,4.5,4.0,BeerAdvocate,American Barleywine,4.5,Sierra Nevada Bigfoot Barleywine Style Ale,2671.0
Sierra Nevada Brewing Co.,9.11260801E8,4.0,4.0,BeerAdvocate,American Pale Wheat Ale,4.0,Sierra Nevada Wheat Beer,282.0
Yakima Brewing Co. / Bert Grant's Ales,9.05040001E8,3.0,3.0,Todd,English India Pale Ale (IPA),2.5,Bert Grant's IPA,13.0
Yakima Brewing Co. / Bert Grant's Ales,9.08236801E8,3.5,3.5,Todd,Scottish Ale,4.0,Bert Grant's Scottish Ale,11.0
Yakima Brewing Co. / Bert Grant's Ales,9.07200001E8,4.0,4.0,Todd,Russian Imperial Stout,4.5,Bert Grant's Imperial Stout,12.0
Panther Brewing Company,9.06163201E8,3.0,2.5,BeerAdvocate,American Adjunct Lager,3.0,The Three Stooges Beer,396.0
United Breweries - UB Group,8.89142401E8,3.5,3.0,Todd,American Pale Lager,3.5,Kingfisher Premium Lager,266.0
Boston Beer Company (Samuel Adams),8.84390401E8,4.0,4.0,Todd,American Strong Ale,4.5,Samuel Adams Triple Bock,111.0
Boston Beer Company (Samuel Adams),8.85945601E8,4.5,4.0,Jason,Cream Ale,4.5,Samuel Adams Cream Ale,110.0
John Harvard's Brewery & Ale House,9.13593601E8,4.0,3.5,BeerAdvocate,English Brown Ale,4.0,Nut Brown Ale,485.0
John Harvard's Brewery & Ale House,8.95276801E8,3.5,3.0,BeerAdvocate,Belgian Pale Ale,3.5,Belgian Spiced Ale,489.0
John Harvard's Brewery & Ale House,8.95276801E8,4.0,3.5,BeerAdvocate,Fruit / Vegetable Beer,4.0,Cherry Blossom,487.0
John Harvard's Brewery & Ale House,8.95276801E8,4.0,4.0,BeerAdvocate,American IPA,4.5,India Pale Ale (IPA),488.0
John Harvard's Brewery & Ale House,9.13593601E8,4.0,4.0,BeerAdvocate,Extra Special / Strong Bitter (ESB),4.0,Christmas Ale,486.0
"Old Nutfield Brewing Company, Ltd.",8.87846401E8,3.5,3.5,BeerAdvocate,American Porter,3.5,Winter Frost Ale,2092.0
"Old Nutfield Brewing Company, Ltd.",8.87846401E8,4.0,3.0,BeerAdvocate,American Pale Ale (APA),4.0,Nutfield Nor'Easter,2387.0
"Old Nutfield Brewing Company, Ltd.",8.88796801E8,4.0,3.0,BeerAdvocate,American Pale Ale (APA),3.5,Nutfield Auburn Ale,2134.0
Unibroue,8.98560001E8,5.0,4.0,Todd,Tripel,5.0,La Fin Du Monde,34.0
Unibroue,9.04089601E8,5.0,4.5,Todd,Belgian Strong Dark Ale,5.0,Maudite,33.0
Brasserie Grain d' Orge (Brasserie Jeanne d'Arc SA),8.97523201E8,4.0,4.0,Todd,Belgian Dark Ale,4.0,Grand Cru,130.0
Berkshire Brewing Company Inc.,9.12729601E8,3.5,4.0,BeerAdvocate,American Porter,3.5,Drayman's Porter,86.0
Berkshire Brewing Company Inc.,9.02188801E8,3.5,4.0,BeerAdvocate,American Pale Wheat Ale,3.5,Independence Wheat Ale,84.0
Pete's Brewing Company,8.95536001E8,3.0,3.0,BeerAdvocate,American Adjunct Lager,3.0,Pete's Wicked ESP,379.0
Pete's Brewing Company,8.90611201E8,4.0,3.5,BeerAdvocate,Maibock / Helles Bock,4.0,Pete's Wicked Springfest,380.0
Harpoon Brewery,8.94758401E8,4.0,3.5,Todd,American Blonde Ale,3.5,Pickwick Ale,316.0
Tollemache & Cobbold Brewery Ltd,8.93289601E8,4.5,4.0,BeerAdvocate,English Brown Ale,4.5,Cobnut Nut Brown Ale,37.0
Maritime Beer Company Inc.,9.01670401E8,4.0,3.5,BeerAdvocate,American Amber / Red Ale,4.0,King's Honey Amber Ale,303.0
Maritime Beer Company Inc.,9.01670401E8,4.0,4.0,BeerAdvocate,Cream Ale,4.0,Black Pearl Cream Ale,301.0
Beer Works,8.94931201E8,4.0,3.5,BeerAdvocate,American Amber / Red Ale,3.5,Boston Red,556.0
Beer Works,8.94931201E8,3.5,3.0,BeerAdvocate,American Amber / Red Ale,3.0,Boston Red,556.0
Beer Works,9.04867201E8,3.5,3.0,BeerAdvocate,American Blonde Ale,3.5,Bambino Ale,549.0
Beer Works,9.04867201E8,4.0,3.0,BeerAdvocate,English Dark Mild Ale,4.0,Allston Mild,551.0
Beer Works,8.94931201E8,4.0,3.5,BeerAdvocate,Eisbock,4.5,Eisbock,557.0
Beer Works,8.94931201E8,3.5,3.0,BeerAdvocate,American Adjunct Lager,3.5,Premium American Lager,558.0
Beer Works,9.04867201E8,4.5,3.5,BeerAdvocate,Oatmeal Stout,4.5,Buck Eye Oatmeal Stout,554.0
Beer Works,9.04867201E8,4.0,4.0,BeerAdvocate,Pumpkin Ale,4.0,Pumpkinhead Ale,16027.0
Beer Works,9.04867201E8,4.0,4.0,BeerAdvocate,Fruit / Vegetable Beer,4.0,Bunker Hill Blueberry Ale,553.0
Beer Works,9.04867201E8,4.5,4.0,BeerAdvocate,American IPA,4.5,Back Bay IPA,552.0
Alexander Keith's,8.92684801E8,4.0,2.5,Todd,English India Pale Ale (IPA),2.5,Alexander Keith's India Pale Ale,264.0
Belhaven Brewery Company Ltd.,8.90697601E8,4.5,4.0,BeerAdvocate,Scotch Ale / Wee Heavy,4.5,Wee Heavy,79.0
Sprecher Brewing Company,8.93289601E8,4.0,4.0,BeerAdvocate,Schwarzbier,4.0,Black Bavarian,96.0
